pretty_formula,X,Y,Z,energy,energy_per_atom,volume,formation_energy_per_atom,spacegroup,band_gap,density,total_magnetization
MgSc2In,Sc,Mg,In,-18.18776238,-4.546940595,90.27382995155776,-0.29271509749999947,225,0.0,4.212973716390909,0.0090833
Ti2MnAl,Ti,Mn,Al,-29.6986705,-7.424667625,60.96457800321936,-0.2500238361494258,216,0.056700000000000195,4.8388871956714095,0.000174
Ti2MnSi,Ti,Mn,Si,-31.78497654,-7.946244135,54.70766094832393,-0.333915798649425,216,0.0,5.425819378430244,0.0265733
Ti2MnGa,Ti,Mn,Ga,-29.04216003,-7.2605400075,60.291652889947166,-0.26526617052442614,216,0.08030000000000026,6.07007047850543,0.0005734
Ti2MnGe,Ti,Mn,Ge,-30.55263678,-7.638159195,56.29001773433308,-0.24415239989942616,216,0.0,6.587640041524861,0.1136331
Ti2MnIn,Ti,Mn,In,-27.91683478,-6.979208695,63.96528664757499,-0.05303793114942579,216,0.0461999999999998,6.892122503020245,0.0011558
Ti2MnSn,Ti,Mn,Sn,-29.54117758,-7.385294395,65.77122743297572,-0.14465159989942578,216,0.0,6.8011412744112265,1.049192
Ti2AlFe,Ti,Fe,Al,-28.93544633,-7.2338615825,57.45047160314902,-0.23221950416666726,216,0.0,5.16108470173437,1.000035
Ti2FeSi,Ti,Fe,Si,-31.14935508,-7.78733877,54.09833963525713,-0.3480121441666659,216,0.0,5.514770381912436,2.0019896
Ti2GaFe,Ti,Fe,Ga,-28.24125321,-7.0603133025,57.07553212131123,-0.23804117604166652,216,0.0,6.438496547621338,0.9940651
Ti2InFe,Ti,Fe,In,-26.86018526,-6.715046315,64.92327377390623,0.03812273833333357,216,0.0,6.813621680039696,0.6612241
Ti2AlCo,Ti,Co,Al,-27.70290227,-6.9257255675,57.7472205060737,-0.2645061529166677,216,0.0,5.223365140309928,2.0004377
Ti2CoSi,Ti,Co,Si,-29.78137821,-7.4453445525,54.79120710010138,-0.34644059041666697,216,0.0,5.538625732766032,3.000764
Ti2GaCo,Ti,Co,Ga,-27.00970664,-6.75242666,57.37987354888632,-0.27057719729166774,216,0.0,6.4937174293707365,1.9995973
Ti2CoGe,Ti,Co,Ge,-28.62578327,-7.1564458175,56.99247791965436,-0.2758633966666668,216,0.0,6.62284728080925,3.0051304
Ti2InCo,Ti,Co,In,-25.89324338,-6.473310845,64.18819842378021,-0.06056445541666733,216,0.0,6.971541578615707,1.9987334
Ti2InCo,Ti,Co,In,-25.97061273,-6.4926531825,65.84090684219058,-0.0799067929166668,225,0.0,6.7965451211110715,1.9997467
Ti2AlNi,Ti,Ni,Al,-26.37447577,-6.5936189425,59.08434471118978,-0.2644448066666678,216,0.0,5.098417034972896,2.996793
Ti2AlNi,Ti,Ni,Al,-26.40033925,-6.6000848125,60.26358676572779,-0.27091067666666735,225,0.0,4.998650856059824,1.2945978
